PIN2,HOUSE_UNIT,PROPERTY_TYPE
10254010300000,1,1
10254010310000,1,1
10254010360000,1,1
10254010370000,1,1
10254010380000,1,1
10254010390000,1,1
10254010400000,1,1
10254010410000,1,1
10254010420000,1,1
10254010430000,1,1
10254010440000,1,1
10254010450000,1,1
10254010460000,1,1
10254010470000,1,1
10254010480000,1,1
10254010490000,1,1
10254010500000,1,1
10254010510000,1,1
10254010520000,1,1
10254010530000,1,1
10254010540000,1,1
10254010550000,1,1
10254010570000,1,1
10254020040000,0,5
10254030040000,1,1
10254030050000,1,1
10254030060000,1,1
10254030070000,1,1
10254030090000,1,1
10254030100000,1,1
10254030110000,1,1
10254030120000,1,1
10254030130000,1,1
10254030140000,1,1
10254030150000,1,1
10254030160000,1,1
10254030170000,1,1
10254030290000,1,1
10254030300000,1,1
10254030310000,1,1
10254030320000,1,1
10254030390000,1,1
10254030400000,0,5
10254030410000,1,1
10254030420000,1,1
10254030430000,1,1
10254030440000,1,1
10254030450000,1,1
10254030460000,1,1
10254030470000,1,1
10254030480000,1,1
10254030500000,0,5
10254030510000,1,1
10254030520000,1,1
10254030530000,1,1
10254030540000,0,5
10254040010000,1,1
10254040020000,1,1
10254040070000,1,1
10254040080000,1,1
10254040090000,1,1
10254040100000,1,1
10254040110000,1,1
10254040120000,1,1
10254040130000,1,1
10254040140000,1,1
10254040150000,1,1
10254040190000,1,1
10254040200000,1,1
10254040210000,2,3
10254040220000,0,5
10254040230000,1,1
10254040240000,1,1
10254040250000,1,1
10254040260000,1,1
10254040270000,1,1
10254040280000,1,1
10254040290000,1,1
10254040300000,1,1
10254040310000,1,1
10254040320000,1,1
10254040390000,1,1
10254040400000,1,1
10254040410000,1,1
10254040420000,1,1
10254040430000,1,1
10254040440000,1,1
10254040450000,1,1
10254040460000,1,1
10254040470000,1,1
10254050010000,1,1
10254050090000,1,1
10254050140000,1,1
10254050150000,1,1
10254050180000,1,1
10254050190000,1,1
10254050200000,1,1
10254050230000,1,1
10254050240000,1,1
10254050270000,1,1
10254050280000,1,1
10254050300000,1,1
10254050310000,1,1
10254050360000,1,1
10254050370000,0,5
10254050380000,1,1
10254050390000,1,1
10254050400000,1,1
10254050410000,1,1
10254050420000,1,1
10254050430000,1,1
10254050440000,1,1
10254050450000,1,1
10254050460000,1,1
10254050470000,1,1
10254050480000,1,1
10254050490000,1,1
10254050500000,0,5
10254050510000,1,1
10254050520000,1,1
10254050530000,1,1
10254060010000,1,1
10254060020000,1,1
10254060060000,1,1
10254060080000,1,1
10254060190000,3,3
10254060200000,1,1
10254060210000,1,1
10254060220000,1,1
10254060230000,1,1
10254060240000,1,1
10254060250000,1,1
10254060260000,1,1
10254060270000,1,1
10254060280000,1,1
10254060290000,2,3
10254060300000,1,1
10254060310000,1,1
10254060320000,1,1
10254060330000,1,1
10254060340000,1,1
10254060350000,1,1
10254060360000,1,1
10254060370000,1,1
10254060380000,1,1
10254060390000,1,1
10254060400000,1,1
10254060410000,1,1
10254060420000,1,1
10254060430000,1,1
10254060440000,1,1
10254060450000,1,1
10254060460000,1,1
10254060471001,1,2
10254060471002,1,2
10254060471003,1,2
10254070010000,1,1
10254070020000,1,1
10254070030000,1,1
10254070040000,1,1
10254070050000,1,1
10254070060000,1,1
10254070070000,1,1
10254070080000,4,3
10254070090000,1,1
10254070100000,1,1
10254070110000,1,1
10254070120000,1,1
10254070130000,1,1
10254070140000,1,1
10254070150000,1,1
10254070160000,1,1
10254080010000,1,1
10254080020000,1,1
10254080030000,1,1
10254080040000,1,1
10254080050000,1,1
10254080060000,1,1
10254080070000,1,1
10254080080000,1,1
10254080090000,1,1
10254080100000,1,1
10254080110000,1,1
10254080120000,1,1
10254080130000,1,1
10254080140000,1,1
10254080150000,1,1
10254080160000,1,1
10254090010000,1,1
10254090020000,1,1
10254090030000,1,1
10254090040000,1,1
10254090050000,1,1
10254090060000,1,1
10254090070000,1,1
10254090080000,1,1
10254090090000,6,4
10254090100000,2,3
10254090110000,3,3
10254090120000,3,3
10254090130000,2,3
10254090140000,2,3
10254090150000,12,4
10254100010000,9,4
10254100020000,2,3
10254100030000,2,3
10254100040000,2,3
10254100050000,2,3
10254100060000,2,3
10254100080000,13,4
10254100090000,0,5
10254100100000,0,5
10254100110000,0,5
10254100120000,0,5
10254100130000,0,5
10254100140000,0,5
10254100151001,1,2
10254100151002,1,2
10254110090000,1,1
